County,Republican,Democrat,Nonpartisan,Libertarian,Year
Webster,1461,643,369,7,2014
Wheeler,458,140,54,3,2014
York,6829,1883,1490,23,2014
Adams,10859,5042,3629,174,2016
Antelope,3128,865,589,14,2016
Arthur,288,37,15,3,2016
Banner,430,38,76,7,2016
Blaine,318,43,30,2,2016
Boone,2480,910,412,12,2016
Box Butte,4375,1844,1389,62,2016
Boyd,1087,249,159,4,2016
Brown,1683,252,211,10,2016
Buffalo,17262,6501,5545,341,2016
Burt,2552,1440,902,34,2016
Butler,3121,1590,909,20,2016
Cass,8609,4642,4078,194,2016
Cedar,3542,1570,883,17,2016
Chase,1857,374,281,9,2016
Cherry,3181,566,458,11,2016
Cheyenne,4301,1217,1350,59,2016
Clay,2769,841,646,18,2016
Colfax,2362,2036,710,24,2016
Cuming,3665,1242,901,28,2016
Custer,5485,1444,1173,58,2016
Dakota,3703,4275,2687,93,2016
Dawes,3519,1323,1186,50,2016
Dawson,7779,3737,2440,120,2016
Deuel,1015,175,216,11,2016
Dixon,2296,952,555,19,2016
Dodge,11076,6232,4645,182,2016
Douglas,130997,133813,81072,3740,2016
Dundy,959,156,159,1,2016
Fillmore,2411,1026,650,18,2016
Franklin,1430,480,368,10,2016
Frontier,1297,290,264,11,2016
Furnas,2305,643,526,21,2016
Gage,7264,4111,2788,114,2016
Garden,1094,221,143,6,2016
Garfield,986,192,118,3,2016
Gosper,1063,244,182,7,2016
Grant,422,45,35,0,2016
Greeley,645,806,152,2,2016
Hall,16758,9660,6885,271,2016
Hamilton,4405,1258,952,51,2016
Harlan,1590,529,348,11,2016
Hayes,548,83,82,2,2016
Hitchcock,1291,350,359,13,2016
Holt,5212,1147,729,23,2016
Hooker,422,78,37,3,2016
Howard,2481,1342,647,26,2016
Jefferson,2728,1339,918,30,2016
Johnson,1539,806,426,20,2016
Kearney,2843,907,688,35,2016
Keith,4067,1072,1064,46,2016
Keya Paha,527,76,47,3,2016
Kimball,1943,495,545,12,2016
Knox,3351,1621,856,23,2016
Lancaster,77955,68807,40755,2113,2016
Lincoln,13803,5935,4280,208,2016
Logan,427,71,69,1,2016
Loup,423,80,27,1,2016
Madison,12642,4901,3912,147,2016
McPherson,304,39,24,3,2016
Merrick,3274,1003,722,30,2016
Morrill,2175,592,523,26,2016
Nance,1282,767,340,9,2016
Nemaha,2499,1252,816,29,2016
Nuckolls,1869,836,456,20,2016
Otoe,5383,2804,2286,77,2016
Pawnee,1092,499,271,12,2016
Perkins,1396,326,283,7,2016
Phelps,4361,1042,844,38,2016
Pierce,3343,765,800,20,2016
Platte,12193,4910,3042,149,2016
Polk,2317,728,483,15,2016
Red Willow,4673,1239,1341,43,2016
Richardson,3051,1757,890,23,2016
Rock,833,124,74,1,2016
Saline,3127,3324,1448,63,2016
Sarpy,50568,29769,27856,1346,2016
Saunders,8205,3946,2538,112,2016
Scotts Bluff,13204,6096,4865,206,2016
Seward,6134,2755,2004,69,2016
Sheridan,2789,676,624,16,2016
Sherman,999,832,206,12,2016
Sioux,706,110,108,8,2016
Stanton,2493,755,560,35,2016
Thayer,2363,868,602,16,2016
Thomas,413,46,49,1,2016
Thurston,1303,2604,670,13,2016
Valley,1919,736,345,8,2016
Washington,8261,3203,2814,124,2016
Wayne,3308,1108,854,47,2016
Webster,1471,569,377,12,2016
Wheeler,419,126,57,4,2016
York,6724,1800,1509,72,2016
